City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
26,Sabang,ID,5.8933,95.3214,81.03,77,100,22.15,light rain
27,Shimoda,JP,34.6667,138.95,77.11,95,100,6.15,overcast clouds
28,Clyde River,CA,70.4692,-68.5914,29.53,69,47,9.57,scattered clouds
29,Malanje,AO,-9.5402,16.341,66.72,89,17,3.36,few clouds
30,Vaini,TO,-21.2,-175.2,69.96,94,90,11.5,light rain
31,Ushuaia,AR,-54.8,-68.3,40.66,87,20,6.91,few clouds
32,Saint-Philippe,RE,-21.3585,55.7679,75.22,69,35,8.63,scattered clouds
33,Bredasdorp,ZA,-34.5322,20.0403,45.36,88,91,6.29,overcast clouds
34,Maceio,BR,-9.6658,-35.7353,72.84,100,20,2.3,few clouds
35,Barrow,US,71.2906,-156.7887,39.22,87,1,4.61,clear sky
36,Los Reyes,MX,19.35,-98.9667,58.75,94,90,5.75,light rain
37,Bethel,US,41.3712,-73.414,75.56,85,75,4.61,broken clouds
38,Bluff,NZ,-46.6,168.3333,54.81,67,100,34.14,light rain
39,Shache,CN,38.4167,77.2406,88.09,11,0,2.64,clear sky
40,Port Alfred,ZA,-33.5906,26.891,57.76,77,93,3.47,overcast clouds
41,Dingle,PH,10.9995,122.6711,84.69,76,100,12.41,overcast clouds
42,Sioux Lookout,CA,50.1001,-91.917,49.87,99,64,4.25,broken clouds
43,Pandan,PH,14.0453,124.1694,85.91,70,100,8.57,overcast clouds
44,Bay Roberts,CA,47.5999,-53.2648,59.5,95,4,2.21,clear sky
45,Ribeira Grande,PT,38.5167,-28.7,71.96,87,67,9.35,broken clouds
46,Novooleksiyivka,UA,46.2269,34.6428,63.19,48,0,10.63,clear sky
47,Arraial Do Cabo,BR,-22.9661,-42.0278,70.72,87,41,30.11,scattered clouds
48,Mehamn,NO,71.0357,27.8492,42.98,96,92,15.52,light rain
49,Banda Aceh,ID,5.5577,95.3222,84.76,62,100,14.03,light rain
50,Chokurdakh,RU,70.6333,147.9167,36.79,65,100,9.84,overcast clouds
